-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 07/30/2025 in LST
Location: latitude  26.2577   longitude 50.07 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PS,T2M,WS10M,CLRSKY_SFC_SW_DWN
2025,1,1,3.2573,101.88,16.86,7.16,3.3482
2025,1,2,3.4049,102.15,15.67,7.29,3.4702
2025,1,3,3.6629,102.25,14.65,6.64,3.857
2025,1,4,3.978,102.22,14.58,5.2,4.2084
2025,1,5,3.9665,102.08,15.19,3.41,4.1942
2025,1,6,3.8561,101.81,16.02,3.65,4.0721
2025,1,7,2.9856,101.85,15.57,2.81,4.0068
2025,1,8,3.4147,101.77,16.39,4.58,3.8424
2025,1,9,3.5035,101.75,16.22,5.89,3.6658
2025,1,10,3.817,101.86,17.22,3.74,4.0476
2025,1,11,3.9425,101.82,17.85,2.13,4.1124
2025,1,12,2.669,101.79,18.35,3.53,3.785
2025,1,13,3.4476,102.05,16.32,6.35,3.7692
2025,1,14,3.7102,102.08,15.12,6.24,3.9607
2025,1,15,4.0608,102.18,16.26,4.09,4.261
2025,1,16,3.9847,102.0,17.09,2.58,4.265
2025,1,17,3.3965,101.55,16.85,7.0,3.708
2025,1,18,3.7234,101.58,15.77,6.56,3.9526
2025,1,19,4.1491,101.62,15.75,4.7,4.368
2025,1,20,4.0318,101.71,15.88,3.07,4.4364
2025,1,21,4.2173,101.83,16.91,3.37,4.3838
2025,1,22,4.3517,102.09,16.86,4.36,4.6037
2025,1,23,4.0183,102.09,17.66,2.13,4.2782
2025,1,24,4.1995,101.81,18.39,2.08,4.3524
2025,1,25,4.087,101.72,18.28,1.84,4.3728
2025,1,26,3.0031,101.72,18.52,3.46,4.1784
2025,1,27,2.3666,101.66,17.34,4.9,3.7301
2025,1,28,3.9245,101.73,17.67,5.84,4.0594
2025,1,29,4.3284,101.92,17.0,5.37,4.5046
2025,1,30,3.948,102.03,17.05,6.92,4.0817
2025,1,31,4.3786,101.86,15.62,5.68,4.5264
2025,2,1,4.4167,101.7,16.6,2.7,4.6394
2025,2,2,4.3133,101.78,16.32,4.74,4.4172
2025,2,3,4.6512,101.87,15.53,4.8,4.8778
2025,2,4,4.8146,101.79,16.19,2.72,5.0863
2025,2,5,4.1875,101.34,17.45,4.86,5.0381
2025,2,6,1.9608,100.8,19.75,7.03,3.5911
2025,2,7,2.676,101.1,18.66,5.94,3.9564
2025,2,8,4.344,101.45,15.59,5.45,4.4839
2025,2,9,3.9991,101.62,15.21,5.52,4.3488
2025,2,10,4.5554,101.74,15.59,4.35,4.9651
2025,2,11,3.7692,101.72,17.88,2.66,4.505
2025,2,12,3.2496,101.49,19.44,3.55,4.5857
2025,2,13,0.9336,101.57,19.06,4.48,4.4254
2025,2,14,2.5908,101.73,18.77,4.64,4.549
2025,2,15,1.2434,101.66,16.78,6.73,4.3171
2025,2,16,2.2339,101.42,16.84,2.94,4.5446
2025,2,17,3.0509,101.52,18.22,5.43,4.5782
2025,2,18,4.2396,101.76,17.59,6.86,4.7686
2025,2,19,5.1259,101.58,17.76,5.18,5.2889
2025,2,20,3.2455,101.05,18.02,4.06,4.7662
2025,2,21,5.1857,101.37,18.38,5.05,5.3962
2025,2,22,4.949,101.32,20.14,3.03,5.2754
2025,2,23,3.0506,101.36,18.56,6.78,4.615
2025,2,24,1.7302,101.69,16.58,8.37,3.7116
2025,2,25,3.5794,102.22,13.42,10.2,3.6833
2025,2,26,2.8932,102.13,13.34,6.52,4.6805
2025,2,27,1.9051,102.03,15.07,5.57,4.2283
2025,2,28,4.1194,101.83,15.67,6.07,4.6625
2025,3,1,4.6188,101.52,16.85,3.97,4.8581
2025,3,2,5.1509,101.78,16.73,6.92,5.2793
2025,3,3,5.5399,101.89,16.34,5.47,5.6664
2025,3,4,1.836,101.56,17.07,4.17,5.6162
2025,3,5,2.6969,101.31,19.65,5.58,3.821
2025,3,6,1.5254,101.39,18.87,4.52,4.5576
2025,3,7,3.2186,101.06,20.16,5.46,4.9378
2025,3,8,2.3251,100.64,20.36,1.99,5.0515
2025,3,9,5.147,101.06,20.21,3.27,5.4787
2025,3,10,2.028,101.37,20.23,3.82,4.9414
2025,3,11,5.0484,101.47,20.51,6.66,5.1588
2025,3,12,4.7878,101.55,20.76,6.7,4.8799
2025,3,13,5.4814,101.52,20.42,5.77,5.5627
2025,3,14,5.9652,101.46,20.74,5.64,6.1723
2025,3,15,5.951,101.42,21.15,4.14,6.4342
2025,3,16,4.213,101.53,21.46,3.87,6.2546
2025,3,17,5.1377,101.36,22.46,3.42,5.6345
2025,3,18,5.8219,101.25,23.23,2.59,5.9954
2025,3,19,6.1661,101.2,23.94,3.1,6.4543
2025,3,20,5.7629,101.12,25.51,5.87,6.3211
2025,3,21,2.5639,101.16,25.24,3.64,5.7514
2025,3,22,4.4554,101.16,24.3,4.21,5.5358
2025,3,23,3.7135,101.67,20.96,8.14,4.9039
